,descr,date,US_img,E_ID
R-71,,"Thu, 23-Jul-2020 (18:23:40)",data/img/R-71_img.png,E-13
R-72,,"Thu, 23-Jul-2020 (18:23:55)",data/img/R-72_img.png,E-13
R-73,,"Thu, 23-Jul-2020 (18:24:05)",data/img/R-73_img.png,E-13
R-74,,"Thu, 23-Jul-2020 (18:24:28)",data/img/R-74_img.png,E-13
R-75,,"Thu, 23-Jul-2020 (18:24:51)",data/img/R-75_img.png,E-13
R-76,,"Thu, 23-Jul-2020 (18:24:58)",data/img/R-76_img.png,E-13
R-77,,"Thu, 23-Jul-2020 (18:25:01)",data/img/R-77_img.png,E-13
R-78,,"Thu, 23-Jul-2020 (18:25:05)",data/img/R-78_img.png,E-13
R-79,,"Thu, 23-Jul-2020 (18:25:10)",data/img/R-79_img.png,E-13
R-80,,"Thu, 23-Jul-2020 (18:25:15)",data/img/R-80_img.png,E-13
R-81,,"Thu, 23-Jul-2020 (18:25:29)",data/img/R-81_img.png,E-13
R-82,,"Thu, 23-Jul-2020 (18:25:36)",data/img/R-82_img.png,E-13
R-83,,"Thu, 23-Jul-2020 (18:25:40)",data/img/R-83_img.png,E-13
R-84,,"Thu, 23-Jul-2020 (18:25:43)",data/img/R-84_img.png,E-13
R-85,,"Thu, 23-Jul-2020 (18:25:54)",data/img/R-85_img.png,E-13
R-86,,"Thu, 23-Jul-2020 (18:25:58)",data/img/R-86_img.png,E-13
R-87,,"Thu, 23-Jul-2020 (18:26:05)",data/img/R-87_img.png,E-13
R-88,,"Thu, 23-Jul-2020 (18:26:11)",data/img/R-88_img.png,E-13
R-89,,"Thu, 23-Jul-2020 (18:26:20)",data/img/R-89_img.png,E-13
R-90,,"Thu, 23-Jul-2020 (18:26:23)",data/img/R-90_img.png,E-13
R-91,,"Thu, 23-Jul-2020 (18:26:28)",data/img/R-91_img.png,E-13
R-92,,"Thu, 23-Jul-2020 (18:26:32)",data/img/R-92_img.png,E-13
R-93,,"Thu, 23-Jul-2020 (18:26:37)",data/img/R-93_img.png,E-13
R-94,,"Thu, 23-Jul-2020 (18:26:41)",data/img/R-94_img.png,E-13
R-95,,"Thu, 23-Jul-2020 (18:26:44)",data/img/R-95_img.png,E-13
R-96,,"Thu, 23-Jul-2020 (18:26:49)",data/img/R-96_img.png,E-13
R-97,,"Thu, 23-Jul-2020 (18:27:01)",data/img/R-97_img.png,E-13
R-98,,"Thu, 23-Jul-2020 (18:27:04)",data/img/R-98_img.png,E-13
R-99,,"Thu, 23-Jul-2020 (18:27:08)",data/img/R-99_img.png,E-13
R-100,,"Thu, 23-Jul-2020 (18:27:13)",data/img/R-100_img.png,E-13
R-101,,"Thu, 23-Jul-2020 (18:27:17)",data/img/R-101_img.png,E-13
R-102,,"Fri, 24-Jul-2020 (17:39:46)",data/img/R-102_img.png,E-14
R-103,,"Fri, 24-Jul-2020 (17:40:58)",data/img/R-103_img.png,E-14
R-104,,"Fri, 24-Jul-2020 (17:41:28)",data/img/R-104_img.png,E-14
R-105,,"Fri, 24-Jul-2020 (17:42:10)",data/img/R-105_img.png,E-14
R-106,,"Fri, 24-Jul-2020 (17:42:56)",data/img/R-106_img.png,E-14
R-107,,"Fri, 24-Jul-2020 (17:43:27)",data/img/R-107_img.png,E-14
R-108,,"Fri, 24-Jul-2020 (17:43:57)",data/img/R-108_img.png,E-14
R-109,,"Fri, 24-Jul-2020 (17:44:14)",data/img/R-109_img.png,E-14
R-110,,"Fri, 24-Jul-2020 (17:45:15)",data/img/R-110_img.png,E-14
R-111,,"Fri, 24-Jul-2020 (17:45:42)",data/img/R-111_img.png,E-14
R-112,,"Fri, 24-Jul-2020 (17:46:21)",data/img/R-112_img.png,E-14
R-113,,"Fri, 24-Jul-2020 (17:46:44)",data/img/R-113_img.png,E-14
R-114,,"Fri, 24-Jul-2020 (17:47:02)",data/img/R-114_img.png,E-14
R-115,,"Fri, 24-Jul-2020 (17:48:14)",data/img/R-115_img.png,E-14
R-116,,"Fri, 24-Jul-2020 (17:48:48)",data/img/R-116_img.png,E-14
R-117,,"Fri, 24-Jul-2020 (17:49:32)",data/img/R-117_img.png,E-14
R-118,,"Fri, 24-Jul-2020 (17:50:08)",data/img/R-118_img.png,E-14
R-119,,"Fri, 24-Jul-2020 (17:50:35)",data/img/R-119_img.png,E-14
R-120,,"Fri, 24-Jul-2020 (17:51:19)",data/img/R-120_img.png,E-14
R-121,,"Fri, 24-Jul-2020 (17:52:12)",data/img/R-121_img.png,E-14
R-122,,"Fri, 24-Jul-2020 (17:52:47)",data/img/R-122_img.png,E-14
R-123,,"Fri, 24-Jul-2020 (17:53:23)",data/img/R-123_img.png,E-14
R-124,,"Fri, 24-Jul-2020 (17:53:56)",data/img/R-124_img.png,E-14
R-125,,"Fri, 24-Jul-2020 (17:54:34)",data/img/R-125_img.png,E-14
R-126,,"Fri, 24-Jul-2020 (17:55:32)",data/img/R-126_img.png,E-14
R-127,,"Fri, 24-Jul-2020 (17:56:35)",data/img/R-127_img.png,E-14
R-128,,"Fri, 24-Jul-2020 (17:57:30)",data/img/R-128_img.png,E-14
R-129,,"Fri, 24-Jul-2020 (17:58:07)",data/img/R-129_img.png,E-14
R-130,,"Fri, 24-Jul-2020 (17:58:48)",data/img/R-130_img.png,E-14
R-131,,"Fri, 24-Jul-2020 (17:59:26)",data/img/R-131_img.png,E-14
R-132,,"Fri, 24-Jul-2020 (17:59:51)",data/img/R-132_img.png,E-14
R-133,,"Fri, 24-Jul-2020 (18:00:34)",data/img/R-133_img.png,E-14
R-134,,"Fri, 24-Jul-2020 (18:00:59)",data/img/R-134_img.png,E-14
R-135,,"Fri, 24-Jul-2020 (18:01:37)",data/img/R-135_img.png,E-14
R-136,,"Fri, 24-Jul-2020 (18:01:52)",data/img/R-136_img.png,E-14
R-137,,"Fri, 24-Jul-2020 (18:02:53)",data/img/R-137_img.png,E-14
R-138,,"Fri, 24-Jul-2020 (18:03:24)",data/img/R-138_img.png,E-14
R-139,,"Fri, 24-Jul-2020 (18:04:02)",data/img/R-139_img.png,E-14
R-140,,"Fri, 24-Jul-2020 (18:04:32)",data/img/R-140_img.png,E-14
R-141,,"Fri, 24-Jul-2020 (18:05:05)",data/img/R-141_img.png,E-14
R-142,,"Fri, 24-Jul-2020 (18:05:33)",data/img/R-142_img.png,E-14
R-143,,"Fri, 24-Jul-2020 (18:06:02)",data/img/R-143_img.png,E-14
R-144,,"Fri, 24-Jul-2020 (18:06:50)",data/img/R-144_img.png,E-14
R-145,,"Fri, 24-Jul-2020 (18:07:08)",data/img/R-145_img.png,E-14
R-146,,"Tue, 28-Jul-2020 (16:40:46)",data/img/R-146_img.png,E-15
R-147,,"Tue, 28-Jul-2020 (16:41:54)",data/img/R-147_img.png,E-15
R-148,,"Tue, 28-Jul-2020 (16:42:34)",data/img/R-148_img.png,E-15
R-149,,"Tue, 28-Jul-2020 (16:43:18)",data/img/R-149_img.png,E-15
R-150,,"Tue, 28-Jul-2020 (16:44:04)",data/img/R-150_img.png,E-15
R-151,,"Tue, 28-Jul-2020 (16:45:02)",data/img/R-151_img.png,E-15
R-152,,"Tue, 28-Jul-2020 (16:45:50)",data/img/R-152_img.png,E-15
R-153,,"Tue, 28-Jul-2020 (16:46:37)",data/img/R-153_img.png,E-15
R-154,,"Tue, 28-Jul-2020 (16:46:44)",data/img/R-154_img.png,E-15
R-155,,"Tue, 28-Jul-2020 (16:47:19)",data/img/R-155_img.png,E-15
R-156,,"Tue, 28-Jul-2020 (16:47:56)",data/img/R-156_img.png,E-15
R-157,,"Tue, 28-Jul-2020 (16:48:45)",data/img/R-157_img.png,E-15
R-158,,"Tue, 28-Jul-2020 (16:49:14)",data/img/R-158_img.png,E-15
R-159,,"Tue, 28-Jul-2020 (16:49:58)",data/img/R-159_img.png,E-15
R-161,,"Tue, 28-Jul-2020 (16:51:03)",data/img/R-161_img.png,E-15
R-163,,"Tue, 28-Jul-2020 (16:52:14)",data/img/R-163_img.png,E-15
R-164,,"Tue, 28-Jul-2020 (16:53:07)",data/img/R-164_img.png,E-15
R-165,,"Tue, 28-Jul-2020 (16:56:11)",data/img/R-165_img.png,E-15
R-166,,"Tue, 28-Jul-2020 (16:58:07)",data/img/R-166_img.png,E-15
R-167,,"Tue, 28-Jul-2020 (16:58:37)",data/img/R-167_img.png,E-15
R-168,,"Tue, 28-Jul-2020 (16:59:32)",data/img/R-168_img.png,E-15
R-169,,"Tue, 28-Jul-2020 (17:00:16)",data/img/R-169_img.png,E-15
R-170,,"Tue, 28-Jul-2020 (17:01:17)",data/img/R-170_img.png,E-15
R-171,,"Tue, 28-Jul-2020 (17:03:08)",data/img/R-171_img.png,E-15
R-172,,"Tue, 28-Jul-2020 (17:03:39)",data/img/R-172_img.png,E-15
R-173,,"Tue, 28-Jul-2020 (17:03:59)",data/img/R-173_img.png,E-15
R-174,,"Tue, 28-Jul-2020 (17:04:49)",data/img/R-174_img.png,E-15
R-175,,"Tue, 28-Jul-2020 (17:05:17)",data/img/R-175_img.png,E-15
R-176,,"Tue, 28-Jul-2020 (17:05:52)",data/img/R-176_img.png,E-15
R-177,,"Tue, 28-Jul-2020 (17:09:54)",data/img/R-177_img.png,E-15
R-178,,"Tue, 28-Jul-2020 (17:10:50)",data/img/R-178_img.png,E-15
R-179,,"Tue, 28-Jul-2020 (17:11:34)",data/img/R-179_img.png,E-15
R-180,,"Tue, 28-Jul-2020 (17:12:09)",data/img/R-180_img.png,E-15
R-181,,"Tue, 28-Jul-2020 (17:12:29)",data/img/R-181_img.png,E-15
R-182,,"Tue, 28-Jul-2020 (17:13:46)",data/img/R-182_img.png,E-15
R-183,,"Tue, 28-Jul-2020 (17:14:26)",data/img/R-183_img.png,E-15
R-184,,"Tue, 28-Jul-2020 (17:14:52)",data/img/R-184_img.png,E-15
R-185,,"Tue, 28-Jul-2020 (17:16:35)",data/img/R-185_img.png,E-15
R-186,,"Tue, 28-Jul-2020 (17:17:24)",data/img/R-186_img.png,E-15
R-187,,"Tue, 28-Jul-2020 (17:18:09)",data/img/R-187_img.png,E-15
R-188,,"Tue, 28-Jul-2020 (17:18:34)",data/img/R-188_img.png,E-15
R-189,,"Tue, 28-Jul-2020 (17:18:57)",data/img/R-189_img.png,E-15
R-190,,"Tue, 28-Jul-2020 (17:19:38)",data/img/R-190_img.png,E-15
R-191,,"Tue, 28-Jul-2020 (17:20:13)",data/img/R-191_img.png,E-15
R-192,,"Tue, 28-Jul-2020 (17:20:57)",data/img/R-192_img.png,E-15
R-193,,"Tue, 28-Jul-2020 (17:21:45)",data/img/R-193_img.png,E-15
R-194,,"Tue, 28-Jul-2020 (17:22:32)",data/img/R-194_img.png,E-15
R-195,,"Tue, 28-Jul-2020 (17:23:01)",data/img/R-195_img.png,E-15
R-196,,"Tue, 28-Jul-2020 (17:23:40)",data/img/R-196_img.png,E-15
R-197,,"Tue, 28-Jul-2020 (17:24:06)",data/img/R-197_img.png,E-15
R-198,,"Tue, 28-Jul-2020 (17:25:09)",data/img/R-198_img.png,E-15
R-199,,"Tue, 28-Jul-2020 (17:25:37)",data/img/R-199_img.png,E-15
R-200,,"Tue, 28-Jul-2020 (17:26:00)",data/img/R-200_img.png,E-15
R-201,,"Tue, 28-Jul-2020 (17:26:29)",data/img/R-201_img.png,E-15
R-202,,"Tue, 28-Jul-2020 (17:26:58)",data/img/R-202_img.png,E-15
R-203,,"Tue, 28-Jul-2020 (17:27:21)",data/img/R-203_img.png,E-15
R-204,,"Tue, 28-Jul-2020 (17:27:43)",data/img/R-204_img.png,E-15
R-205,,"Tue, 28-Jul-2020 (17:28:10)",data/img/R-205_img.png,E-15
R-206,,"Tue, 28-Jul-2020 (17:28:38)",data/img/R-206_img.png,E-15
R-205,,"Tue, 28-Jul-2020 (18:39:24)",data/img/R-78f38de3-789f-4c14-a869-9560fdbb70af_img.png,E-16
