,E_ID,R_ID_base,R_ID_nav,acc_o,acc_t,calc_errors,doc_eval,vec_base,vec_nav
0,E-0,R-0,R-2,[-0.05676512 -0.04932377  0.00748703],11.68840175717944,[0.12628211 0.12020399],,[  50.46181251 -232.23484996   38.75900487],[  61.60987029 -235.72478018   38.35909183]
1,E-0,R-0,R-3,[ 0.68072631 -0.01036454 -0.04272148],14.954114191148214,[0.12628211 0.12157311],,[  50.46181251 -232.23484996   38.75900487],[  35.54823275 -231.47608185   37.96217307]
2,E-0,R-0,R-4,[-0.00765327  0.00502651  0.3377789 ],15.165139742082708,[0.12628211 0.1234118 ],,[  50.46181251 -232.23484996   38.75900487],[  36.12025209 -236.78546794   40.6545217 ]
3,E-0,R-0,R-5,[-0.03491745  0.00811137 -0.32963305],14.603023301191966,[0.12628211 0.12207885],,[  50.46181251 -232.23484996   38.75900487],[  63.68741048 -230.36499886   44.6611659 ]
4,E-0,R-0,R-6,[-0.12951939  0.56199811  0.00671497],22.217765073009897,[0.12628211 0.13111253],,[  50.46181251 -232.23484996   38.75900487],[  47.61066746 -210.27310053   40.54271402]
5,E-0,R-0,R-7,[-0.06146919 -0.62255716  0.01474474],18.291732406598477,[0.12628211 0.1242597 ],,[  50.46181251 -232.23484996   38.75900487],[  54.43011368 -245.42641454   26.72477517]
6,E-0,R-0,R-8,[-0.44482469 -0.17739224 -0.27541437],27.66650869573072,[0.12628211 0.13068469],,[  50.46181251 -232.23484996   38.75900487],[  78.07092887 -230.7894651    39.79980254]
7,E-1,R-9,R-10,[ 0.00985967 -0.01950248  0.01060564],2.2472334212809026,[0.12498361 0.12856057],,[  -3.11752202 -157.36628225   35.55494439],[  -2.16170553 -159.31994661   36.1203367 ]
